min:s.ms g
7:00.585 715.55
7:00.667 715.56
7:00.750 715.58
7:00.847 715.59
7:00.942 715.59
7:01.038 715.59
7:01.117 715.58
7:01.235 715.55
7:01.283 715.53
7:01.420 715.53
7:01.467 715.56
